"id","rsin","gemeenteCode","kvk"
30822c68-7d6b-49ac-ad33-2000e5b615be,001220469,0003,01173706
b5ba5e2a-32a5-4a39-8ba4-39ac4381d533,001932809,0014,01171824
c81399ea-a427-4517-855f-e3fba5f0e2d8,009962475,0024,01180449
1c24fc68-acda-4aac-bad6-b7ac87dcef9d,006462583,0034,32164984
531ada9a-1dab-4a5a-a23e-482bc9e2d6a3,001374564,0037,01169424
71d2b538-e275-4a09-9794-e55a56587394,001374527,0047,50852736
cea858b3-f34b-4f5c-a3eb-1e07e2f7176e,006462455,0050,32164515
b851427f-8525-4cfa-8e9a-bcb88637b645,001949251,0059,01176356
2e5c477e-f015-49eb-888f-e92e629b5ae9,002017441,0060,01180264
070f12c2-b0b1-4046-a0dd-e00a43f2398f,001608836,0072,50945149
6ae55005-cdfc-4dbb-b965-1cb7d17c4e3e,001966108,0074,01179719
2f9b0c35-f950-4ad7-85a8-015111074935,001903664,0080,50042688
8585c20d-c2e4-4886-9b9a-81c47c706c7f,002017891,0085,01180311
29da92cc-a3ee-4c68-be7e-0b875a5b162c,001950149,0086,01175380
85ddb0bd-17ae-4b72-b8a4-55ece973d556,002017428,0088,01173331
bcb967f6-5637-4951-85a0-1b40027a68ff,001608861,0093,01177508
4e326b74-d06e-4771-85d0-f9840f0cdc0b,001608885,0096,01181122
294fd0dc-f930-433c-84db-fded3dc17642,002072117,0098,50738631
ac31339e-693c-43a0-aebd-51ec90013539,001587936,0106,50788590
f4519045-825b-4c9d-b4fa-07f9c1a6c052,806300917,0109,01173197
cdee1914-da67-4ca1-b9e2-90a945a18bb1,001969316,0114,01181973
40413a7b-212c-4746-94c3-fca7878d4eea,001268193,0118,01175828
570d8606-997f-47e6-a7cc-ccdfdca98400,806299046,0119,01178692
02ea4b5f-4227-4504-a677-885911d8518e,001255824,0158,50232274
2a40573a-f933-4c3d-9766-d1063f7fdd27,001584157,0160,53009886
1c73d9df-d459-40ef-bd74-7e7cc7691d1c,809249091,0166,08216768
492beca2-2e0e-4e45-89de-622049d777b8,001255836,0168,50869744
05a968ed-8b7f-4e53-8f85-07571852ba28,001891984,0171,32170205
f48a2e9b-158b-4b40-bdd8-16e2d6eb7632,001255861,0173,08224234
59622381-5a55-4612-a79b-3883005b48a5,001892022,0175,51102757
db3cf30b-1beb-4dd9-b60b-d3b7625aa902,001892009,0184,32166227
daf3c247-5e84-4f0a-acc1-e4f79bb38be0,813584784,0197,09215631
3d5b4f18-b1b5-4fa3-ac16-0393d6b720de,001825112,0202,09214908
06d49dc3-c513-4ce6-afbc-858efb11d9a3,001831112,0203,50313851
a686ad16-c80c-4924-a6bb-6e07ec2d1389,001094920,0209,51487659
9749206b-3821-4caf-a916-df11ed96df9b,001046561,0213,50530003
095a25ae-2fa3-41de-9a6f-6f38b6850119,001486809,0216,30278756
a25b3810-eb04-4c9d-ae1e-fa479b7e83d2,813585983,0222,09215668
002b6431-4282-4073-846c-c153c1a084c6,001100415,0225,30279480
8f00299c-dde3-458b-8ffb-c464b626f7d9,001202546,0226,09217727
9a523001-230a-49cf-a6b0-5738cab673fa,001104524,0228,09215646
703a2b32-755a-4609-bd66-bb5b969ab5bb,001831124,0230,08218414
879f7a73-1907-431f-8391-787c7596d02d,001831136,0233,08217014
b80632c9-cc72-449a-8bc2-21e912f4a6fd,001831148,0243,50197576
