"97.10 Code GBA-deelnemer","97.11 Omschrijving","97.12 Aanduiding aangesloten op het GBA-netwerk","99.98 Datum ingang","99.99 Datum einde"
"015801","Gemeente Haaksbergen/Burgerzakentaken","1","20180725","",""
"015901","Gemeente Den Ham","1","19940201","20010101",""
"016001","Gemeente Hardenberg/Burgerzakentaken","1","20180701","",""
"016101","Gemeente Hasselt","1","19940715","20010101",""
"016201","Gemeente Heino","1","19940301","20010101",""
"016301","Gemeente Hellendoorn/Burgerzakentaken","1","20180701","",""
"016401","Gemeente Hengelo (O)/Burgerzakentaken","1","20180701","",""
"016501","Gemeente Holten","1","19930801","20010101",""
"016601","Gemeente Kampen/Burgerzakentaken","1","20180701","",""
"016602","Gemeente Kampen/Burgerzakentaken (2)","0","20180701","",""
"016801","Gemeente Losser/Burgerzakentaken","1","20180701","",""
"016802","Gemeente Losser/Burgerzakentaken (2)","0","20180701","",""
"016901","Gemeente Markelo","1","19940401","20010101",""
"017001","Gemeente Nieuwleusen","1","19930615","20010101",""
"017101","Gemeente Noordoostpolder/Burgerzakentaken","1","20180701","",""
"017301","Gemeente Oldenzaal/Burgerzakentaken","1","20180701","",""
"017401","Gemeente Olst","1","19931101","20020326",""
"017501","Gemeente Ommen/Burgerzakentaken","1","20180701","",""
"017601","Gemeente Ootmarsum","1","19940415","20010101",""
"017701","Gemeente Raalte/Burgerzakentaken","1","20180701","",""
"017801","Gemeente Rijssen","1","19940201","20030315",""
"017901","Gemeente Stad Delden","1","19940901","20010101",""
"018001","Gemeente Staphorst/Burgerzakentaken","1","20180725","",""
"018101","Gemeente Steenwijk","1","19940930","20030101",""
"018301","Gemeente Tubbergen/Burgerzakentaken","1","20180701","",""
"018401","Gemeente Urk/Burgerzakentaken","1","20180725","",""
"018601","Gemeente Vriezenveen","1","19940201","20020601",""
"018801","Gemeente Weerselo","1","19940901","20010101",""
"018901","Gemeente Wierden/Burgerzakentaken","1","20180725","",""
"019001","Gemeente Wijhe","1","19930515","20010101",""
"019101","Gemeente IJsselmuiden","1","19940601","20010101",""
"019201","Gemeente Zwartsluis","1","19940901","20010101",""
"019301","Gemeente Zwolle/Burgerzakentaken","1","20180725","",""
